forecast_date,q10,q50,q90,mode
2026-02-19,87,94,102,95
2026-02-20,88,96,104,97
2026-02-23,88,95,103,94
2026-02-24,88,95,102,95
2026-02-25,87,94,101,92
2026-02-26,85,92,99,92
2026-02-27,83,89,96,87
2026-02-28,83,89,95,89
2026-03-01,81,87,92,86
2026-03-02,82,88,94,87
2026-03-03,83,88,94,89
2026-03-04,86,91,97,91
2026-03-05,87,92,98,92
2026-03-06,88,93,98,92
2026-03-07,87,92,98,92
2026-03-08,87,93,99,94
2026-03-09,86,91,97,91
2026-03-10,86,92,97,92
2026-03-11,86,91,96,91
2026-03-12,85,90,95,90
2026-03-13,85,90,95,90
2026-03-14,86,90,95,90
2026-03-15,87,91,95,90
2026-03-16,87,91,95,90
2026-03-17,85,90,94,90
